threshold,precision,recall,f1,flagged
0.3,0.35,0.961,0.513,354
0.4,0.435,0.93,0.593,276
0.5,0.52,0.899,0.659,223
0.6,0.586,0.868,0.7,191
0.7,0.675,0.791,0.729,151
0.8,0.821,0.713,0.763,112
0.9,0.959,0.543,0.693,73
